Scanning 101 .tor files for zero-dot singleton FQNs
FQN	PAYLOAD_SIZE	CF_E0_COUNT	CF_40_COUNT	STRING_COUNT	FIRST_32_BYTES	STRING_SAMPLES
conSpec_scff_quickslot	535	0	1	17	00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 1A 08 CC 04 4A 5D 59 C3 08 05	conSpec_scff_quickslot | conSlotQuickslot_1 | conSlotQuickslot_2 | conSlotQuickslot_3 | conSlotQuickslot_4 | conSlotQuickslot_5 | conSlotQuickslot_6 | conSlotQuickslot_7
conSpec_sellback	4851	0	1	202	00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 01 64 CC 04 4A 5D 59 C3 08 05 02 01	conSpec_sellback | !!""##$$%%&&''(())**++,,--..//00112233445566778899::;;<<==>>??@@AABBCCDDEEFFGGHHIIJJKKLLMMNNOOPPQQRRSSTTUUVVWWXXYYZZ[[\\]]^^__``aabbccdd | conSlotInventory_1 | conSlotInventory_10 | conSlotInventory_100d | conSlotInventory_11 | conSlotInventory_12 | conSlotInventory_13
conSpec_sith_inquisitor_equip	2337	0	1	53	00 00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 18 18 03 01 05 01 06 01 07 01 08	conSpec_sith_inquisitor_equip | conSlotDeprecated_1 | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanEar_1 | conSlotEquipHumanFace_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1
conSpec_sith_warrior_equip	2343	0	1	53	00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 18 18 03 01 04 01 05 01 06 01 07 01 08 01 09 01	conSpec_sith_warrior_equip | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanEar_1 | conSlotEquipHumanFace_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1 | conSlotEquipHumanImplant_1
conSpec_smuggler_equip	2381	0	1	53	00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 18 18 05 01 06 01 07 01 08 01 09 01	conSpec_smuggler_equip | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanCustomRanged_1 | conSlotEquipHumanEar_1 | conSlotEquipHumanFace_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1
conSpec_temporary_abilities	721	0	1	25	00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 1A 0C CC 04 4A 5D 59 C3 08 05 02 01 01 1A 00	conSpec_temporary_abilities | conSlotQuickslot_1 | conSlotQuickslot_10 | conSlotQuickslot_11 | conSlotQuickslot_12 | conSlotQuickslot_2 | conSlotQuickslot_3 | conSlotQuickslot_4
conSpec_timers	2773	0	1	129	00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 1C 40 CC 04 4A 5D 59 C3 08 05	conSpec_timers | conSlotTimers_1 | conSlotTimers_10 | conSlotTimers_11 | conSlotTimers_12 | conSlotTimers_13 | conSlotTimers_14 | conSlotTimers_15
conSpec_transaction	3659	0	1	203	00 10 0E CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 43 64 CC 04 4A 5D 59 C3 08 05 02 01 01 43 00	conSpec_transaction | C!C"C#C$C%C&C'C(C)C*C+C,C-C.C/C0C1C2C3C4C5C6C7C8C9C:C;C<C=C>C?C@CACBCCCDCECFCGCHCICJCKCLCMCNCOCPCQCRCSCTCUCVCWCXCYCZC[C\C]C^C_C`CaCbCcCdC | !!""##$$%%&&''(())**++,,--..//00112233445566778899::;;<<==>>??@@AABBCCDDEEFFGGHHIIJJKKLLMMNNOOPPQQRRSSTTUUVVWWXXYYZZ[[\\]]^^__``aabbccdd | conSlotAny_1 | conSlotAny_10 | conSlotAny_100d | conSlotAny_11 | conSlotAny_12
conSpec_trooper_equip	2339	0	1	53	00 00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 18 18 05 01 06 01 07 01 08 01 09	conSpec_trooper_equip | conSlotDeprecated_1 | conSlotEquipHumanBelt_1 | conSlotEquipHumanChest_1 | conSlotEquipHumanEar_1 | conSlotEquipHumanFace_1 | conSlotEquipHumanFoot_1 | conSlotEquipHumanGlove_1
contactsPrototype	18348	1326	382	64	00 00 00 05 05 CF 40 00 00 42 7A D5 61 D0 08 01 01 AD AD CF E0 00 00 21 40 52 BD DF CF E0 00 97	v8B/i | 0$"K= | 0Zr+ | F&!_ | JxL6 | N?oQP | o<;j] | "ZXiT#
crdCreditsScreensDataPrototype	791	0	10	18	00 00 00 00 00 00 01 01 CF 40 00 00 43 1F 66 70 E1 08 02 09 09 09 01 04 04 CF 40 00 00 43 1F 66	/gfx/credits/credits.xml | login.endcredits | /gfx/credits/rothc_credits.xml | login.endcreditsrothc | $/gfx/credits/starfighter_credits.xml | login.endcreditsstarfighter | #/gfx/credits/stronghold_credits.xml | login.endcredits
data	120997	280	494	1648	00 00 00 01 01 CF 40 00 00 4D 1B 54 92 50 08 01 08 C9 01 18 C9 01 18 CF E0 00 00 FA F1 6B B9 AF	I/art/dynamic/space_pvp/ships/imp_scout/sweapon/imp_scout_a_sweapon_03.gr2 | I/art/dynamic/space_pvp/ships/imp_scout/sweapon/imp_scout_a_sweapon_03.gr2 | I/art/dynamic/space_pvp/ships/imp_scout/sweapon/imp_scout_a_sweapon_03.gr2 | I/art/dynamic/space_pvp/ships/rep_scout/sweapon/rep_scout_b_sweapon_03.gr2 | I/art/dynamic/space_pvp/ships/rep_scout/sweapon/rep_scout_b_sweapon_03.gr2 | I/art/dynamic/space_pvp/ships/rep_scout/sweapon/rep_scout_a_sweapon_03.gr2 | g/art/dynamic/space_pvp/ships/spvp_neu_starship_ricker/sweapon/spvp_neu_starship_ricker_a_sweapon_01.gr2 | I/art/dynamic/space_pvp/ships/rep_scout/sweapon/rep_scout_b_sweapon_02.gr2
dataEnumPrototype	1405	1	1	72	00 00 00 01 01 CF 40 00 00 40 55 18 22 E1 08 02 08 01 01 CF 6B E7 CB 21 F2 9D B2 A0 02 06 47 47	NPCImperial | UPVeteran | BeastTusks | NPCScavenger | NPCMedic | BossMini | UPMaster | DroidAssassin
decCategoriesTable	500	0	13	4	00 00 02 02 CF 40 00 00 41 E5 69 94 E4 08 02 09 0C 0C CF 24 30 52 25 C7 E6 C1 F4 02 01 CF 40 00	$0R% | rP7W | EW7[ | $0R%
decSubCategoriesTable	6097	1	63	25	00 00 00 00 00 00 00 02 02 CF 40 00 00 41 E5 69 94 EB 08 02 09 3E 3E CF 07 BC 55 AD 63 21 A0 E7	8aqr | rP7W | EW7[ | $0R% | EW7[ | EW7[ | rP7W | EW7[
decorationsPrototype	516633	50865	8	2224	0F 0F CF 40 00 00 41 E5 69 94 EE 08 01 03 C9 0C 5F C9 0C 5F CF E0 00 00 14 F0 3D 20 C4 01 CF E0	K.iO | iDM` | msyn | -p7H | 6('t_ | ms|w | pNc_ | <g||
dvlServerAlignmentData	737	0	12	0	00 00 00 00 00 00 02 02 CF 40 00 00 4E BE 34 04 51 07 09 0B 0B 01 05 02 CF 40 00 00 43 23 30 BF	
edCenterPrototype	134559	1146	1147	1204	00 00 00 00 00 00 00 01 01 CF 40 00 00 09 F4 78 7F 69 08 01 09 C9 04 7A C9 04 7A CF E0 00 00 AE	A\art\static\designblockout\designutility\dbo_utility_medspawn.gr2 | A\art\static\designblockout\designutility\dbo_utility_medspawn.gr2 | A\art\static\designblockout\designutility\dbo_utility_medspawn.gr2 | A\art\static\designblockout\designutility\dbo_utility_medspawn.gr2 | A\art\static\designblockout\designutility\dbo_utility_medspawn.gr2 | A\art\static\designblockout\designutility\dbo_utility_medspawn.gr2 | A\art\static\designblockout\designutility\dbo_utility_medspawn.gr2 | A\art\static\designblockout\designutility\dbo_utility_medspawn.gr2
effAppearancePriorityClasses	928	0	15	0	01 01 CF 40 00 00 06 EF A6 AE F3 08 05 09 0E 0E 01 10 10 CF 40 00 00 06 EF A6 AE E4 02 28 01 02	
effGlobalDataPrototype	1994	197	1	7	00 00 00 00 00 00 01 01 CF 40 00 00 4D F0 8D FD 78 08 01 03 C8 C5 C8 C5 CF E0 00 01 E8 02 86 6C	z<M2a | 5>`EU | LzA7 | SPQq | `lmy | d]^Ve | Z:;/
emtEmotesPrototype	5461	494	1	30	00 00 02 02 CF 40 00 00 44 61 33 45 12 07 01 C9 01 69 C9 01 69 01 CF E0 00 89 00 75 02 1C 01 02	Da3E | }c4; | RRa; | 6#w= | R:3nE | ,aqP | r=VS | 0+/f
entEntitlementsTablePrototype	6582	0	196	11	00 00 00 00 00 00 00 03 03 CF 40 00 00 4B E0 17 04 A5 08 02 09 41 41 CF 04 9B 4F 10 93 0E C0 99	&zN- | &zN- | J/g} | J/g} | 3eSo | &zN- | J/g} | 3eSo
entGroupsTablePrototype	1526	0	21	3	00 00 00 00 00 01 01 CF 40 00 00 4B E0 17 04 B3 08 02 09 14 14 CF 01 67 70 EC 4D 54 3A 2A 04 02	MT:* | MT:* | F#Zp
erkPrototypeMap	13024	359	94	118	00 03 03 CF 40 00 00 49 AC DA 53 F0 08 01 07 04 04 CF E0 00 1A 32 DF 8E CF FA 01 01 01 01 CF E0	%&Z| | eZw; | 75IJ | 75IKZJ | 75IM | prioritytransport_odessen | companion_giftspeed1 | companion_giftspeed3
fxUsedInScriptProto	3967	0	1	40	00 01 01 CF 40 00 00 08 94 24 45 39 08 05 06 72 72 02 28 61 62 69 6C 69 74 69 65 73 2F 61 6C 6C	(abilities/all/all_groundtargeting_lockon | 'environments/all/env_all_phasegate_blue | (environments/all/env_all_phasegate_green | &environments/all/env_all_phasegate_red | *worlddesign/quests/icon_overhead_bindpoint | cover_selected_right_01 | cover_selected_02 | cover_selected_left_02
gdrItemExceptionsPrototype	251	11	9	1	00 00 01 01 CF 40 00 00 4C 90 E3 CA 71 08 01 09 08 08 CF E0 00 15 70 DF 08 1E 92 03 03 CF 40 00	I_\(O
gldFlagshipPrototype	21380	432	935	98	02 02 CF 40 00 00 42 05 5B 87 90 08 01 09 23 23 CF 40 00 00 00 00 03 FF E4 07 07 CF 40 00 00 41	jEzk | cdx.planets.tatooine | /am1 | Esrx | /am8 | /am: | cdx.planets.coruscant | 9z?[
gldHeraldryInfoPrototype	12276	1	232	417	00 00 00 00 01 01 CF 40 00 00 43 D8 7F B1 E8 08 05 08 02 02 01 01 09 AF AF CF 01 4A 68 CD 36 1E	bg_armor | fg_armor | bg_knight | fg_knight | bg_emplogo | fg_emplogo | bg_difficulty | fg_difficulty
gldLevelInfoPrototype	25360	0	601	43	00 00 00 00 00 00 00 02 02 CF 40 00 00 43 BD CF 44 53 08 02 09 C9 02 58 C9 02 58 01 06 03 CF 40	ff"A | ff"A | 33'A | 33'A | ff.A | ff.A | 333A | 333A
gldLogInfoPrototype	277	0	5	0	00 04 04 CF 40 00 00 43 B8 63 A1 F3 08 05 05 14 14 01 02 02 02 03 02 04 02 05 02 06 02 07 04 08	
gldPerkInfoPrototype	58812	1497	378	427	04 04 CF 40 00 00 43 C0 DC 36 40 08 02 09 C9 01 6C C9 01 6C CF 01 35 77 3A 7A 24 4F 4F 0A 0A CF	5w:z$OO | -gld.perk.wildcard.flashpoint_increase_stats_1 | 5x:z$Q | -gld.perk.wildcard.flashpoint_increase_stats_2 | 5y:z$R | -gld.perk.wildcard.flashpoint_increase_stats_3 | "r:. | gld.perk.active.group_rez
gldTagsInfoPrototype	611	0	25	0	02 02 CF 40 00 00 43 CD 0E 50 03 08 05 09 04 04 01 02 02 CF 40 00 00 43 CD 0E 50 06 02 CE 03 5D	
gmGlobalDataPrototype	27873	1051	508	273	00 00 00 00 00 00 00 03 02 CF 40 00 00 4E A7 41 89 1B 08 02 09 06 06 CF 06 A6 E6 14 B4 0B 9F 9C	mc_regionSeatOfTheEmpire | mc_regionHuttSpace | mc_regionWildSpace | mc_regionCorewardWorlds | mc_regionDistantOuterRim | mc_regionUnknownRegions | J.,b | PLA_Tatooine
grpFinderDataPrototype	21402	72	159	87	00 00 00 00 00 00 05 05 CF 40 00 01 08 31 33 27 3E 08 02 09 91 91 CF 03 3C 83 E6 61 56 BB FC 13	:7Ok | :7Ok | )XJD | )XJD | :7Ok | N0:# | N0:# | :7Ok
guiColorTablePrototype	8167	0	1	326	00 00 00 00 00 00 02 02 CF 40 00 00 0C 06 0D 4F FE 08 01 06 A4 A4 CE 46 E5 82 19 57 86 2D 1A 63	clr.font.navy_blue_outline | clr.font.grey_dark | clr.font.map.gold | clr.font.blue_medium_glow | $clr.font.chat.channel.systemfeedback | clr.font.influence_purple | clr.font.cyan_light | clr.item.quality.premium
guiIconsTablePrototype	1110	0	1	75	00 00 00 00 00 00 01 01 CF 40 00 00 3D D5 E6 68 80 08 01 06 4B 4B 01 08 61 72 74 69 66 69 63 65	artifice | armortech | armorreduced | biochem | cybertech | slicing | archaeology | bioanalysis
guiInfoPopupsPrototype	9938	92	66	139	00 00 00 00 00 00 08 05 CF 40 00 00 45 58 21 3A 84 08 02 09 18 18 CF 03 92 FD 9F 83 6C 41 05 0A	EX!: | EX!: | bwaui_layout_info_update | EX!: | 8QS9JO(r | r(Yr | bwaui_layout_info_update | EX!:
guiLoadingStages_Prototype	201	0	1	16	00 00 01 01 CF 40 00 00 35 FF D9 0F B0 08 06 04 07 07 D2 10 43 6C 69 65 6E 74 20 61 72 65 61 20	Client | area | load | Loading | Loading | Repository | Assets | Server
guiOverlayScreens_Prototype	1732	0	38	41	00 01 01 CF 40 00 00 4E 2D 65 18 0C 08 01 09 25 25 CF 05 60 01 72 B5 1B E7 62 04 03 CF 40 00 00	Fire_Gameplay | Force_Vision_Cinematic | Pass_Out_Cinematic | Valkorion_Cinematic | Sniper_Scope_Zoom_In | Poison_Gas_Cinematic | Sniper_Scope_Targeting | Security_Cam_Cinematic
guiOverlayTypes_Prototype	430	0	1	29	00 00 00 01 01 CF 40 00 00 4E 44 F9 51 79 08 05 06 1D 1D 01 06 48 4B 5F 65 70 34 02 09 76 61 6C	HK_ep4 | valkorian | HK_ep4 | dreamscape | forcevision | pass_out | securitycam | vignette
haredInformationPrototype	940797	19333	6	10664	00 00 00 00 00 00 00 05 05 CF 40 00 00 0E F9 25 A3 C8 08 06 02 C9 24 EF C9 24 EF D2 34 71 73 74	4qst.alliance.alerts.companions.adon.adon_recruitment | 2qst.alliance.alerts.companions.adon.full_influence | 9qst.alliance.alerts.companions.adon.instant_gratification | ?qst.alliance.alerts.companions.adon.vette.date_night.date_alert | 8c-+( | :qst.alliance.alerts.companions.amity.amity_recruitment_imp | :qst.alliance.alerts.companions.amity.amity_recruitment_rep | 7qst.alliance.alerts.companions.amity.compendium_tracker
hcaUsedInScriptProto	17107	151	228	386	02 02 CF 40 00 00 1C CA 75 CC F4 08 05 09 78 78 01 03 01 CF 40 00 00 1C CA 75 CC F5 06 1C 5C 61	\art\static\point_static.gr2 | \server\tbl\cmdslashcommands.tbl | cmdslashcommands | \server\tbl\cnvCameraTable.tbl | cnvCameraTable | \server\tbl\hydStatePackage.tbl | hydStatePackage | \server\tbl\mapAreasdata.tbl
hipCostPrototype	1443	0	41	1	00 00 00 00 00 00 00 01 01 CF 40 00 00 41 95 3B 9C 75 08 02 09 28 28 CF 0C C3 ED 67 2C 67 DB 1E	n~=!
hydAnimationInfoPrototype	1153227	0	6072	28518	00 00 00 02 02 CF 40 00 00 06 A0 71 47 43 08 06 09 C9 17 B7 C9 17 B7 D2 00 08 01 CF 40 00 00 06	Expansion | Anims**** | ConversationIdle | ConversationIdle | po_normal_idle | -_conversation._standing.Wookiee.em_wookiee_01 | Wookiee_01 | em_wookiee_01
hydAreaIdToPlanetAliasDataPrototype	3794	0	117	178	00 02 02 CF 40 00 00 0A 16 70 7B 38 08 01 06 75 75 00 05 6C 6F 62 62 79 CF 40 00 00 00 00 03 FF	lobby | tatooine | coruscant | dromundkaas | hutta | ordmantell | tython | balmorra
hydstatepackage	1659	0	1	135	00 00 00 00 00 09 07 CF 40 00 00 00 00 69 C6 92 07 07 1B 1B 01 06 05 05 01 0A 62 61 73 69 63 5F	basic_door | open | SnapOpen | false | basic_door | closed | open | Close
hypExternalLinkDataPrototype	6497	0	37	109	01 01 CF 40 00 00 40 97 4B 76 84 08 02 09 24 24 01 07 05 CF 40 00 00 40 97 4B 76 81 06 15 68 74	https://buy.swtor.com | https://www.swtor.com/fr/buy | https://www.swtor.com/de/buy | https://buy.swtor.com | https://www.swtor.com/fr/buy | https://www.swtor.com/de/buy | 0https://account.swtor.com/en/account/cartelcoins | 0https://account.swtor.com/fr/account/cartelcoins
indpointsPrototype	16988	406	583	15	00 00 00 00 00 00 02 02 CF 40 00 00 35 16 18 5C F0 08 01 01 C9 01 96 C9 01 96 CF AF 9A 48 7B 20	Esrx | Fgg= | M8J4 | ckoA_Q | ;,5Z0 | bp&~C | E8`/ | )^*H
inv_07	474	0	1	15	00 00 00 00 00 00 10 0D CF 40 00 00 03 32 81 FF 0C 08 05 02 01 01 01 07 CC 04 4A 5D 59 C3 08 05	inv_07 | conSlotInventory_1 | conSlotInventory_2 | conSlotInventory_3 | conSlotInventory_4 | conSlotInventory_5 | conSlotInventory_6 | conSlotInventory_7
itmAppearanceColorsPrototype	49899	1	430	245	02 02 CF 40 00 00 4C C3 2F 6A 98 07 09 C9 01 A7 C9 01 A7 01 08 06 CF 40 00 00 41 23 81 D7 74 09	NONE | BLUE | ORANGE | YELLOW | GREEN | PURPLE | WHITE | LTBLUE
itmAppearanceDatatable	393937	0	2362	12862	00 00 00 00 00 00 03 01 CF 40 00 00 05 DE 89 74 CC 08 06 09 C9 09 39 C9 09 39 D2 23 4D 61 72 6B	#Marketing_Test_saber_high04_a01_v01 | 2\art\dynamic\weapon\model\saber_high04_a01_v01.gr2 | all_lightsaber_dynamic | socket_saber | Green | Saber | assaultcannon.gormac.a01_v01 | :\art\dynamic\weapon\model\assaultcannon_gormac_a01_v01.gr2
itmAugmentCostsPrototype	614	22	12	0	00 00 00 00 04 04 CF 40 00 00 44 0F 1B CC 21 08 01 02 0B 0B CF E0 00 35 D0 16 C0 32 01 0A CF E0	
itmBudgetedAttributesPrototype	3780784	0	12	315	00 00 00 00 00 00 01 01 CF 40 00 00 24 9D 4E D5 C1 08 05 07 04 04 03 07 C8 C8 C8 C8 01 02 C9 03	y!z!{!|!}"~" | t!u!v!w!x"y"z"{"|#}#~# | o!p!q!r!s"t"u"v"w#x#y#z#{$|$}$~$ | j!k!l!m!n"o"p"q"r#s#t#u#v$w$x$y$z%{%|%}%~& | f!g!h!i!j"k"l"m#n#o#p#q$r$s$t$u%v%w%x&y&z&{&|'}'~' | b!c!d!e"f"g"h"i#j#k#l$m$n$o$p%q%r%s%t&u&v&w'x'y'z'{(|(}(~( | ^!_!`!a"b"c"d"e#f#g#h$i$j$k%l%m%n%o&p&q&r's't'u'v(w(x(y)z){)|)}*~* | Z![!\!]"^"_"`"a#b#c#d$e$f$g%h%i%j&k&l&m&n'o'p'q(r(s(t(u)v)w)x*y*z*{+|+}+~+
itmEnhancementExtractionCostsPrototype	3210	0	1	0	00 00 00 00 00 00 01 01 CF 40 00 00 35 48 14 D7 61 08 05 07 04 04 03 02 C8 C8 C8 C8 01 0A 02 0A	
itmEnhancementInfoPrototype	1180	0	10	26	00 02 02 CF 40 00 00 0F 73 48 60 EF 08 02 09 09 09 CF 15 E9 BB 0F DE 31 C9 37 07 04 CF 40 00 00	gfx/icons/slot_barrel.dds | barrel | gfx/icons/slot_modulator.dds | modulator | 9Qk^ | gfx/icons/slot_circuitry.dds | circuitry | 9Qk^
itmGiftMultiplierDeltaRank	185	0	1	0	00 00 01 01 CF 40 00 00 08 54 BD 7F 1B 08 02 04 13 13 00 00 00 80 3F 01 9A 99 99 3F 02 33 33 B3	
itmGiftReactionsData	149	0	6	0	01 01 CF 40 00 00 4C 32 0B B3 53 07 09 05 05 01 03 03 CF 40 00 00 4C 32 0B B3 54 02 C1 27 0F 01	
itmModifierPackageTablePrototype	87896	0	1553	0	00 00 00 00 01 01 CF 40 00 00 4E 32 E7 EB E8 08 02 07 C9 05 20 C9 05 20 C9 01 C5 09 01 01 01 04	
itmModifierSetTablePrototype	191853	12	4949	431	01 01 CF 40 00 00 0D AC EF 55 18 08 02 09 C9 01 52 C9 01 52 CE FC 54 AB 3A 47 D4 37 02 01 CF 40	yZ;J | _"G{ | Eihd | A1<' | HV4-v | BEzW | |(&Nv | qAoB=
itmPreviewFxSpecsPrototype	1998	26	28	27	00 00 02 02 CF 40 00 00 43 D9 02 EB A6 08 05 09 01 01 17 03 01 CF 40 00 00 4F 66 4E D6 5C 06 38	8quarterly/worlddesign/creature_mount_summon_cloud.fxspec | .mtx/pet_boxdroid/pet_probe_boxdroid_a06.fxspec | .mtx/pet_boxdroid/pet_probe_boxdroid_a13.fxspec | ,mtx/mtx_dce_scoutdroid_mdch1_eye_anim.fxspec | 2mtx/rakling_force_ghost_projector_sfx_clone.fxspec | Henvironments/rishi_stronghold/vfx_path_ad_probe_droid_large_blatant_beks | Ienvironments/rishi_stronghold/vfx_path_ad_probe_droid_large_pit_screamers | /mtx/mtx_minipet_a7_surveillance_drone_01.fxspec
itmPreviewSpecMappings	6535	283	284	12	00 00 00 00 00 00 01 01 CF 40 00 00 43 D0 7D 86 23 08 02 09 C9 01 1B C9 01 1B CF E0 00 00 48 0C	!lvzE | 2t_[ | 3q~i | 0`e5 | G3XBC# | ^s.. | aob7 | U<a6
itmRatingTablePrototype	15706	0	1	7	00 00 00 00 00 02 02 CF 40 00 00 13 39 83 42 46 08 02 08 C8 C9 C8 C9 00 05 02 0A 0A 01 00 02 00	B!C!D"E"F#G#H$I$J%K%L&M&N'O'P(Q(R)S)T*U*V+W+X,Y,Z-[-\.].^/_/`0a0b1c1d2e2f3g3h4i4j5k5l6m6n7o7p8q8r9s9t:u:v;w;x<y<z={=|>}>~? | F!G!H"I"J#K#L$M$N%O%P&Q&R'S'T(U(V)W)X*Y*Z+[+\,],^-_-`.a.b/c/d0e0f1g1h2i2j3k3l4m4n5o5p6q6r7s7t8u8v9w9x:y:z;{;|<}<~= | H!I!J"K"L#M#N$O$P%Q%R&S&T'U'V(W(X)Y)Z*[*\+]+^,_,`-a-b.c.d/e/f0g0h1i1j2k2l3m3n4o4p5q5r6s6t7u7v8w8x9y9z:{:|;};~< | R!S!T"U"V#W#X$Y$Z%[%\&]&^'_'`(a(b)c)d*e*f+g+h,i,j-k-l.m.n/o/p0q0r1s1t2u2v3w3x4y4z5{5|6}6~7 | X!Y!Z"["\#]#^$_$`%a%b%c%d&e&f'g'h(i(j)k)l*m*n+o+p,q,r-s-t.u.v/w/x0y0z1{1|2}2~3 | ^!_!`"a"b#c#d$e$f%g%h&i&j'k'l(m(n)o)p*q*r+s+t,u,v-w-x-y-z.{.|/}/~0 | ^!_!`"a"b#c#d$e$f%g%h&i&j'k'l(m(n)o)p*q*r+s+t,u,v-w-x-y-z.{.|/}/~0
itmSearchTagsPrototype	4864	0	94	10	00 00 00 00 00 00 01 01 CF 40 00 00 44 43 24 91 52 08 02 09 5D 5D CF 01 CE CE 03 0C B4 67 09 01	-pH~ | $8T2Z | QiAR | HD0" | ]%u~ | zp,[ | 3j1af | 0gP&
itmSetBonusesPrototype	26419	872	221	24	00 00 00 00 00 00 01 01 CF 40 00 00 0A 2D 7B 87 7E 08 02 09 C8 DA C8 DA CF 01 93 6D 86 44 18 C1	5`n> | )M)# | )M*# | )M+# | P+{W | e5i\ | B(Mc | <!1G
itmSetTablePrototype	646702	19499	21682	1060	01 01 CF 40 00 00 09 C7 8E FF FA 08 02 09 C9 08 95 C9 08 95 CE 8C D9 01 44 B2 67 82 01 01 CF 40	yL%+ | bTTC | (^`P | (^`P | %^`P | (^`P | %^`P | %^`P
itmSourceProto	7225	1	3	34	00 00 00 00 00 00 02 02 CF 40 00 00 42 39 4C 09 D0 08 02 03 15 15 CF 04 D3 0A 80 FD D7 44 BD 01	wHG8 | @u:= | (*SU | )*SV | **SV | +*SV | /*SV | VDj'
itmSpecialMailPrototype	3027	124	63	2	00 00 00 00 00 01 01 CF 40 00 00 41 20 94 54 71 08 01 09 3E 3E CF E0 00 01 56 BD 5F BC 2A 06 05	7qb9w | 7qb9w
itmsoundtypes	41490	0	1	1503	00 00 00 00 00 00 00 09 07 CF 40 00 00 00 00 69 C6 92 07 07 C9 01 1F C9 01 1F 01 06 08 08 01 0B	armor.cloth | armor_cloth | armor_cloth | flesh | armor.composite | armor_composite | armor_composite | metal
layerFlairTablePrototype	7801	1	71	151	02 02 CF 40 00 00 43 32 02 B1 54 08 02 02 46 46 CE 5D 45 14 E4 27 C7 79 27 CF 01 E3 2C 43 94 A0	mNB" | Af-Cn | a341 | jx-" | yKiu$ | legendary_status | flair_legendary_status | gc_tier1
lgcAchievementEventsPrototype	1000552	92395	69	3906	00 00 00 00 00 00 00 05 05 CF 40 00 00 40 55 F6 4D E0 08 02 07 C9 2B 6A C9 2B 6A 01 01 C8 C3 C8	A.2' | YCm69 | BwS" | BwS!U= | J#j:F | BwS) | BwS+ | BwS'
lgcCategoryAndPageToStrIdPrototype	227	0	1	0	00 00 01 01 CF 40 00 00 3D E4 EF BE 31 08 02 08 05 05 01 02 01 04 04 01 C9 01 2D 02 C9 01 2C 03	
lgcDailyLoginCalendarPrototype	3105	112	118	9	00 00 00 00 00 00 04 01 CF 40 00 00 44 64 DA 05 F2 08 02 09 04 04 CF 18 0D 54 86 AF 30 C5 3B 05	87Uw | Calendar3_AggressiveNegotiations | 87Uw | Calendar2_UnitedEfforts | 87Uw | Calendar1_StrengthInAllies | 87Uw | f{-4
lgcDailyLoginSubscriberRewardsPrototype	822	14	16	16	00 00 00 00 00 01 01 CF 40 00 00 44 78 D8 20 55 08 02 09 0E 0E CF 2A 0F D2 6B 11 65 6C 01 05 05	SWBR_EventBox | SWBR_SubEventToken | SWBR_PrefabLockbox | SWBR_Relics | SWBR_WarSupplies | }cD5 | SWBR_ValorGrant | SWBR_ArmorPack
lgcGalacticSeasonsPrototype	92380	3588	3117	323	00 04 01 CF 40 00 00 44 87 A6 1A C1 08 02 09 0A 0A CF 60 61 58 16 3F F8 D7 F0 08 07 CF 40 00 00	galacticseasons_season1 | HIYW | HIYW | HIYW | $iM+ | HIYW | HIYW | HIYW
lgcLegacyTitlesTablePrototype	12604	0	467	0	00 00 00 00 00 00 00 01 01 CF 40 00 00 4C A8 75 FC 60 08 02 09 C9 01 D2 C9 01 D2 01 03 02 CF 40	
lgcLevelAndXpDataPrototype	5378	0	81	17	00 00 01 01 CF 40 00 00 36 14 C9 2B 33 08 02 09 50 50 01 08 08 CF 40 00 00 36 14 C9 2B 31 02 CA	ff&? | B$c> | 0g6= | fk=5 | Md=8 | B]$= | cD"= | +V=?
lgcPvPSeasonsPrototype	12617	319	520	14	00 00 00 00 00 00 01 01 CF 40 00 03 D2 82 B4 2F 12 08 02 09 09 09 CF 26 A3 AD FF 63 A9 1F D0 06	pvpseasons_season9 | fRq+x | pvpseasons_season8 | 9Pl`& | wTR% | pvpseasons_season1 | pvpseasons_season3 | pvpseasons_season2
lgcStashDataPrototype	640	0	1	17	00 00 00 00 00 00 00 04 04 CF 40 00 00 4E A6 12 7E FA 08 02 02 0B 0B 01 02 04 11 05 11 0B 05 0D	mtx_platter_special | mtx_platter_armor_lootbox_upper | mtx_platter_comp_gift | mtx_platter_comp_gift | mtx_platter_promotional | mtx_platter_pts | mtx_platter_decoration | mtx_platter_emotes
